eval/episode,eval/mean_episode_reward,eval/best_episode_reward,eval/info_neg_group_dist_mean,eval/info_performance_mean,eval/info_performance_final,eval/info_neg_fixation_dist_mean,eval/info_neg_fixation_dist_final,eval/episode_reward,eval/info_normalized_performance_final,eval/info_neg_group_dist_final,eval/info_normalized_performance_mean,eval/eval_time,train/info_performance_mean,train_actor/loss,train/info_neg_group_dist_final,train_actor/target_entropy,train_critic/loss,train/info_normalized_performance_final,train_actor/entropy,train/info_neg_group_dist_mean,train_alpha/loss,train_alpha/value,train/batch_reward,train/duration,train/episode,train/episode_reward,train/info_normalized_performance_mean,train/info_neg_fixation_dist_final,train/info_performance_final,train/info_neg_fixation_dist_mean
0,-1342.9087744460135,-931.009660074933,-0.26853487,-0.26858178,-0.26539713,-3.9082737e-05,-0.00033281939,-1090.5607794235334,0.015491602,-0.26499778,0.003096171,50.433244943618774,,,,,,,,,,,,,,,,,,
100,-1374.837086458489,-968.7500447034836,-0.24058367,-0.2749674,-0.2801907,-0.028653102,-0.036015335,-1000.0000149011612,-0.14740205,-0.2369723,-0.120747484,38.11958408355713,-0.35939658,406.00225830078125,-0.1954769,-8,15.68390941619873,-0.07811225,-0.1574268639087677,-0.22476543,0.09690942615270615,0.0725457709733495,-14.257512092590332,4.754814386367798,96,-1796.9829481595661,-0.19798858,-0.10663065,-0.3234337,-0.11219264
200,-1296.8750298023224,-937.5,-0.259375,-0.259375,-0.25937504,0.0,0.0,-1312.500238418579,0.0,-0.25937504,0.0,38.418835401535034,-0.29999995,671.730712890625,-0.3,-8,75.59505462646484,0.0,-2.845494031906128,-0.29999995,-0.012965748086571693,0.06976372623650118,-15.278104782104492,4.462197780609131,196,-1500.0000596046448,0.0,0.0,-0.3,0.0
300,-1346.5748103570384,-972.5365522851894,-0.20242304,-0.26931494,-0.2693525,-0.05574328,-0.06031681,-1500.0019580125809,-0.06822077,-0.19697231,-0.06304789,41.10909056663513,-0.4231253,716.4747314453125,-0.26563323,-8,65.12812805175781,-0.48401302,-2.231285572052002,-0.2665179,-0.11088809370994568,0.10869843718555103,-15.520365715026855,4.327731609344482,296,-2115.626422386504,-0.47174,-0.1341838,-0.42665377,-0.13050613
400,-1455.3051504909217,-1094.5940706750844,-0.19079542,-0.29106104,-0.2901172,-0.08355467,-0.08912067,-1524.4087017975835,-0.07880904,-0.18317237,-0.08012496,43.951539039611816,-0.25736803,737.1585083007812,-0.19149175,-8,104.17637634277344,-0.3355718,-2.321491241455078,-0.19215687,-0.03237733244895935,0.1303546920460205,-16.243791580200195,3.178929090499878,396,-1286.8402051439625,-0.32835102,-0.05606276,-0.25876707,-0.05434265
500,-1551.3954876214339,-968.7499701976776,-0.24605359,-0.3102791,-0.31319356,-0.053521257,-0.05883103,-2099.96069905872,-0.08222674,-0.24259631,-0.07139305,43.17711567878723,-0.29796162,834.8840942382812,-0.29436463,-8,96.49279022216797,-0.024533583,-2.386549949645996,-0.29432154,0.022468876093626022,0.12895084206952462,-16.64289093017578,3.913402557373047,496,-1489.80812126807,-0.014337381,-0.0054934393,-0.30095676,-0.003033408
600,-1422.9472902621353,-937.5,-0.23535056,-0.28458944,-0.28599763,-0.041032404,-0.04592343,-2280.048211799003,-0.0320184,-0.23088953,-0.024077171,43.2434287071228,-0.17981584,886.539794921875,-0.17251237,-8,676.67041015625,0.04135756,-3.233576536178589,-0.17515318,0.01490967720746994,0.13802125557227202,-15.6609525680542,3.0214076042175293,596,-899.0792417661578,0.040982213,-0.006027587,-0.17974547,-0.003885569
700,-1326.844638978971,-945.0204684169148,-0.20366138,-0.26536894,-0.26783,-0.051422954,-0.06101477,-2472.9852732783183,-0.07220127,-0.19461231,-0.06266186,43.13870120048523,-0.2760975,884.4031372070312,-0.2724291,-8,74.8033447265625,-0.018233463,-2.2076125144958496,-0.2744123,0.01533714309334755,0.15756351827304957,-15.719572067260742,2.9673011302948,696,-1380.4875528843331,-0.0039909254,-0.0063209166,-0.28001422,-0.0014043082
800,-1466.9448759612947,-968.7499701976776,-0.21816166,-0.29338896,-0.29526514,-0.06268942,-0.07033044,-1344.674891290124,-0.08203177,-0.21086863,-0.07153839,43.465871810913086,-0.37816882,926.876220703125,-0.24172351,-8,189.06390380859375,-0.12450973,-2.9517714977264404,-0.25244492,0.12682291865348816,0.1498494614822371,-15.033809661865234,5.924742937088013,796,-1890.8442837531766,-0.0084502855,-0.14997303,-0.42169115,-0.10476995
900,-1266.0046012230214,-968.7499701976776,-0.21515384,-0.25320092,-0.25228566,-0.0317059,-0.033792958,-1028.6028088442981,0.049699757,-0.2117341,0.046578415,40.519737005233765,-0.26874998,944.7867431640625,-0.26875004,-8,105.647216796875,0.0,-2.9808576107025146,-0.26874998,-0.030713016167283058,0.12784389331527948,-15.243114471435547,3.48919939994812,896,-1343.7502086162567,0.0,0.0,-0.26875004,0.0
